Store_name,Date,Review,Photo
백억하누 강남본점,22.2.18,식당에 룸이 있어서 좋네요,0
백억하누 강남본점,22.2.18,인테리어도 이쁘고 볼것도 많네요~하트,1
백억하누 강남본점,22.2.18,야외도 잘 꾸며나서 밥 먹구 한참 구경하고 갑니당,1
강남진해장,22.2.18,"양 미쳤고.. 너무 맛있습니다…
밥 두그릇 뚝딱",0
강남진해장,22.2.18,좋아요,0
강남진해장,22.2.19,맛있네요,0
강남진해장,22.2.21,해장 짱,0
강남진해장,22.2.21,재료가 신선해요,1
강남진해장,22.2.22,넘 맛있어요,0
강남진해장,22.2.22,굿,0
강남진해장,22.2.26,"가격은 인상이지만 양을 얇게 썰어 식감이 떨어지고 대신 콩나물의 양이 늘어나고 전체적으로 예전보다 푸짐하게 잘먹었다는 생각은 들지 않네요 실망
오픈 당시의 푸짐함이 그립습니다~",0
라그릴리아 SPC스퀘어점,22.2.3,좋아요,0
라그릴리아 SPC스퀘어점,22.2.3,좋아요,0
강남진해장,22.2.3,굿,0
라그릴리아 SPC스퀘어점,22.2.4,파스타도 맛있고 와인도 맛있어요!,1
라그릴리아 SPC스퀘어점,22.2.5,"갈비리조또 맛없음
토요일 퉁퉁한 여자 서빙직원 불친절",0
강남진해장,22.2.5,해장국과 내장탕 둘다 우열을가릴수없을정도로 느무느무맛있어요 정신못차림,1
강남진해장,22.2.5,"양선지 듬뿍 해장국 맛있어요
김치 깍뚜기도 직접 담가서 맛나요~ 웃음",1
백억하누 강남본점,22.2.9,전복차돌삼합 최고예요 웃음,0
백억하누 강남본점,22.3.1,친절하고 음식도 맛있어요,0
백억하누 강남본점,22.3.11,찐 소고기 맛집 하트,0
백억하누 강남본점,22.3.11,별 다섯개도 부족한 100점 만점인 맛집,0
백억하누 강남본점,22.3.11,소고기 질이 다르네요 웃음 인테리어 이뻐요,1
백억하누 강남본점,22.3.11,역시 돼지고기보다는 소고기가 짱인듯,0
백억하누 강남본점,22.3.11,흠 잡을 곳 없는 맛집이군요,0
백억하누 강남본점,22.3.11,"소불고기, 국밥을 이가격에 먹을 수 있다니 웃음",1
백억하누 강남본점,22.3.11,가족 외식했는데 룸도 있고 맛있어 좋았음,0
백억하누 강남본점,22.3.11,불고기 정식 맛있어욤,0
백억하누 강남본점,22.3.11,백세트 가성비 끝내줍니다 웃음,1
백억하누 강남본점,22.3.11,투뿔한우라 맛이 기가 막힙니다👍,0
백억하누 강남본점,22.3.11,백억하누 이시대의 진정한 맛집👍,1
백억하누 강남본점,22.3.11,육회가 찐 일품이네요 웃음,0
백억하누 강남본점,22.3.11,소고기 맛집이라해서 왔습니더~,0
백억하누 강남본점,22.3.11,코로나로 인해 룸에서 맘 편히 먹었슴돠~!,0
백억하누 강남본점,22.3.11,투뿔한우 먹으러 오십시요!,0
백억하누 강남본점,22.3.11,코시국인데도 룸이 있다는게 안심하고 먹고 갈수 있었네요,0
백억하누 강남본점,22.3.11,친절하고 서비스 좋으시네요,0
백억하누 강남본점,22.3.11,고깃집 답지 않은 고급스러운 분위기 좋아요,1
백억하누 강남본점,22.3.11,소고기 질도 다르고 맛도 최고급입니다,0
백억하누 강남본점,22.3.11,다시 오겠습니다~!,0
백억하누 강남본점,22.3.11,저녁 식사하고 가네요. 또 올게여,1
백억하누 강남본점,22.3.11,투뿔한우 사랑해요 하트,1
백억하누 강남본점,22.3.12,친절하고 투뿔한우 좋아요,0
백억하누 강남본점,22.3.12,별점 다섯개도 모자란 소고기 최애의 맛집 하트,0
백억하누 강남본점,22.3.12,선물용으로 너무 괜찮네여,1
백억하누 강남본점,22.3.12,고기도 맛있고 외관 테라스도 너무 이쁘네요,1
백억하누 강남본점,22.3.13,외관도 잘해놓고 실외 테라스(?) 너무 이쁘게 잘 해놨어요,1
백억하누 강남본점,22.3.13,앞으로 소고기는 백억하누에서만 먹을래요,0
