,store_name,date,review,photo,length,review_ckeck
6211,파파야리프,2021.6.11,만족스러운 식사였습니다 음식 맛있고 직원들 친절하고 캐슈넛치킨 먹었어요,0,39,만족스러운 식사였습니다 음식 맛있고 직원들 친절하고 캐슈너트 치킨 먹었어요
6212,느린마을양조장 강남점,2021.6.11,막걸리 여름 먹었는데 맛있네요 알탕이랑 비빔면은 맛있었는데 육전은 잘 모르겠어요  알바생분이 주문 누락하셔서 메뉴가 한참뒤에 나왔어요바쁘니 어쩔수없죠,0,83,막걸리 여름 먹었는데 맛있네요 알탕이랑 비빔면은 맛있었는데 육전은 잘 모르겠어요 아르바이트생분이 주문 누락하셔서 메뉴가 한참 뒤에 나왔어요 바쁘니 어쩔 수 없죠
6213,을밀대 강남점,2021.6.12,맛나요,0,3,맛나요
6214,화기애애 강남역점,2021.6.12,음 가성비 맛있는거 같아요 나중에는 돼지고기 먹어보고 싶네요 그리고 꽃살이랑 양념갈빗살이 맛나요 다만 아쉬운점이 있다면 테이블 마다 벨이 없어서  추가 주문시 좀 불편했습니다 매장은 넓은데 주문 벨이 없다니 ,1,116,음과 성 비 맛있는 거 같아요 나중에는 돼지고기 먹어보고 싶네요 그리고 꽃살이랑 양념 갈빗살이 맛나요 다만 아쉬운 점이 있다면 테이블마다 벨이 없어서 추가 주문 시 좀 불편했습니다 매장은 넓은데 주문 벨리 없다니
6215,신부자식당,2021.6.12,친절하고 맛있어요,0,9,친절하고 맛있어요
6216,신부자식당,2021.6.12,전단지 돌리시는분 손에 잡혀 들어갔는데 가격도 저렴하고 괜찮다 생각해요,0,39,전단지 돌리시는 분 손에 잡혀 들어갔는데 가격도 저렴하고 괜찮다 생각해요
6217,딘타이펑 강남점,2021.6.12,너무 맛있네요 가격도 합리적인데 배부르게 먹었어요,1,27,너무 맛있네요 가격도 합리적인데 배부르게 먹었어요
6218,딘타이펑 강남점,2021.6.12,타이완 넘버원,0,7,타이완 넘버원
6219,시골야채된장,2021.6.13,강남역의 오래된 맛집 중 하나  번화가의 중심에서 이런 메뉴로 운영되는 맛집이다  항상 갈때마다 친절하시고 음식맛도 일품   다들 여긴 방문해 보아야 한다고 생각합니다,1,93,강남역의 오래된 맛집 중 하나 번화가의 중심에서 이런 메뉴로 운영되는 맛 집이 다 항상 갈 때마다 친절하시고 음식 맛도 일품 다들 여긴 방문해 보아야 한다고 생각합니다
6220,시골야채된장,2021.6.13,괜찮아요,0,4,괜찮아요
6221,고양이부엌,2021.6.13,전체적으로 맛은 나쁘지 않았어요 콩나물 있는 거 좋아요 야끼만두는 크기가 작아서 비싼 느낌이에요,1,53,전체적으로 맛은 나쁘지 않았어요 콩나물 있는 거 좋아요 군만두는 크기가 작아 서 비싼 느낌이에요
6222,담소사골순대 강남본점,2021.6.13,브레이크타임이었나봐요 그래도 그렇지웃음웃음여자인 제가 들어갔을 땐 멀뚱멀뚱 식사되냐는 질문에도 대답 제대로 안하고 뒤이어 들어오는 남자 손님한텐 우렁차게 어서오세요라고 하네요 남직원 세분이서 다신 안가요,0,113,브레이크 타임이었나 봐요 그래도 그렇지 웃음 웃음 여자인 제가 들어갔을 땐 멀뚱멀뚱 식사되냐는 질문에도 대답 제대로 안 하고 뒤이어 들어오는 남자 손님한텐 우렁차게 어서 오세요라고 하네요 남직원 세 분에서 다신 안 가요
6223,신부자식당,2021.6.13,친절하시고 고기 맛도 좋아요,0,15,친절하시고 고기 맛도 좋아요
6224,딘타이펑 강남점,2021.6.13,가족식사로 괞찮아요 ,0,11,가족 식사로 괜찮아요
6225,오리지널시카고피자,2021.6.13,맛은 있는데 살짝 질리는 맛 ,0,16,맛은 있는데 살짝 질리는 맛
6226,청류벽,2021.6.14,진짜 맛있어요,0,7,진짜 맛있어요
6227,을밀대 강남점,2021.6.14,웃음,0,2,웃음
6228,강남진해장,2021.6.14,맛있어요,0,4,맛있어요
